Method,σ / noise_mult,clip_norm,ε,ε (final epoch),PR-AUC,PR-AUC lo,PR-AUC hi,prevalence,AUROC,AUROC lo,AUROC hi,F1,FPR@95TPR,MSE(normal),MI-AUC,MI-AUC lo,MI-AUC hi
Baseline,,,inf,,0.9221209523831527,0.7994135729949874,0.9967406260749914,0.05825242718446602,0.9623902252768232,0.8790529010238909,0.9997988130038375,0.8421052631578947,0.6426116838487973,0.8792429566383362,0.5109793053038725,0.4748571133242226,0.548109112745987
Input,0.01,,183366.2078699898,,0.9451324389404885,0.8252805727854988,1.0,0.05825242718446602,0.9738449789996182,0.912343875906527,1.0,0.9411764705882353,0.4639175257731959,0.8642003536224365,0.5260143040602618,0.49070071234936374,0.5631023928000007
Input,0.05,,7872.463368371129,,0.9451324389404885,0.8252805727854988,1.0,0.05825242718446602,0.9738449789996182,0.912343875906527,1.0,0.9411764705882353,0.4639175257731959,0.8643762469291687,0.5257681199145209,0.49052944264384596,0.562440163968941
Input,0.1,,2135.76446401421,,0.9452190077843616,0.8255916184041184,1.0,0.05825242718446602,0.9742268041237114,0.9127421123363384,1.0,0.9411764705882353,0.4570446735395189,0.8652474880218506,0.5262757160913064,0.49099522942104074,0.563320196658054
Input,0.3,,311.35913927759975,,0.9426046176046178,0.821841079530065,1.0,0.05825242718446602,0.973463153875525,0.9115221449223918,1.0,0.9411764705882353,0.46735395189003437,0.8652485609054565,0.5254914799981727,0.49012327576459636,0.5622650508413728
Input,per-feature,,7872.463368371129,,0.9451324389404885,0.8252805727854988,1.0,0.05825242718446602,0.9738449789996182,0.912343875906527,1.0,0.9411764705882353,0.4639175257731959,0.8643762469291687,0.5257681199145209,0.49052944264384596,0.562440163968941
Output,0.0001,,760945089.0162799,,0.9221448643869786,0.7995745978267964,0.9967406260749914,0.05825242718446602,0.9625811378388698,0.8790529010238908,0.9997988130038377,0.8421052631578947,0.6391752577319587,0.8792388439178467,0.5109691533803367,0.4748200463398482,0.5481346833583298
Output,0.001,,7629150.968687306,,0.9221448643869786,0.7995745978267964,0.9967406260749914,0.05825242718446602,0.9625811378388698,0.8790529010238908,0.9997988130038377,0.8421052631578947,0.6391752577319587,0.8792193531990051,0.5109437735714975,0.4747857893120482,0.5482537477137381
Output,0.005,,308667.49437746126,,0.9204339143064634,0.7977262759170652,0.9966005923202614,0.05825242718446602,0.9623902252768232,0.878834257679181,0.9997869859232206,0.8,0.6391752577319587,0.8794878721237183,0.5110224509788992,0.47505925213714967,0.5485596162326349
Output,0.01,,78260.63361523207,,0.9222180279807743,0.7995180775659547,0.9967406260749914,0.05825242718446602,0.9631538755250095,0.8811098937325473,0.9997988130038377,0.7906976744186046,0.6288659793814433,0.8806911706924438,0.5110072230935956,0.47511343066587564,0.548977803747652
Output (last-layer),0.0001,,760945089.0162799,,0.9221209523831527,0.7994135729949874,0.9967406260749914,0.05825242718446602,0.9623902252768232,0.8790529010238908,0.9997988130038378,0.8421052631578947,0.6426116838487973,0.8792486190795898,0.5110021471318278,0.47486856538500144,0.5481668663759817
Output (last-layer),0.001,,7629150.968687306,,0.9221448643869786,0.7995745978267964,0.9967406260749914,0.05825242718446602,0.9625811378388698,0.8790529010238908,0.9997988130038377,0.8421052631578947,0.6391752577319587,0.8793045282363892,0.5110199129980154,0.47491043975347785,0.5481321850413051
Output (last-layer),0.005,,308667.49437746126,,0.924035502973975,0.7997014632143402,0.9970833333333334,0.05825242718446602,0.9629629629629629,0.8801098841694328,0.9998093230469228,0.8205128205128205,0.6357388316151202,0.8796536326408386,0.5109158557817742,0.4746574664508995,0.5479864567373479
