method,sigma,seed,pr_auc,eff_mi
Output,0.0001,42,0.6121333139582492,0.7047235435763566
Output,0.0001,1,0.6121932841999234,0.7017696309085854
Output,0.0001,2,0.6120924473208703,0.6988134413279047
Output,0.0001,3,0.6119953865825731,0.7006420500889069
Output,0.0001,4,0.6121650168643007,0.7064188535417859
Output,0.000175938509926,42,0.6121307908303522,0.7035065489630626
Output,0.000175938509926,1,0.612233601300057,0.695086836983465
Output,0.000175938509926,2,0.6120746990481529,0.6938109703912841
Output,0.000175938509926,3,0.6119311684872915,0.6976994191789587
Output,0.000175938509926,4,0.6121861308519688,0.705889815332709
Output,0.0003095435927498,42,0.6121101367330439,0.6999275967607812
Output,0.0003095435927498,1,0.6123179208730775,0.6815138164489649
Output,0.0003095435927498,2,0.612031419210894,0.6852782519827447
Output,0.0003095435927498,3,0.6117798735059724,0.6935622560114658
Output,0.0003095435927498,4,0.6122211452431698,0.7037717168411199
Output,0.0005446063846554,42,0.6120129108098953,0.696854581415662
Output,0.0005446063846554,1,0.6124597451159801,0.6761715861348947
Output,0.0005446063846554,2,0.6119455364319627,0.679607037895115
Output,0.0005446063846554,3,0.6115016855790664,0.6903733520392082
Output,0.0005446063846554,4,0.6122664939253967,0.7000390128564646
Output,0.0009581723581247,42,0.6115150581996495,0.6943371003419436
Output,0.0009581723581247,1,0.6125839822337255,0.6672693641710465
Output,0.0009581723581247,2,0.6116426219419506,0.6774157006307839
Output,0.0009581723581247,3,0.6108751898585467,0.6889804150197092
Output,0.0009581723581247,4,0.6121721723830307,0.6952080908804645
Output,0.0016857941694076,42,0.6100176539792689,0.687151094224126
Output,0.0016857941694076,1,0.6124555861615745,0.6456083126387675
Output,0.0016857941694076,2,0.6108511512076804,0.6804496127271731
Output,0.0016857941694076,3,0.609576678799297,0.6896824483762188
Output,0.0016857941694076,4,0.6115760210840546,0.6818206293715237
Output,0.0029659611420752,42,0.6055917975770059,0.6539271771771223
Output,0.0029659611420752,1,0.6109722515766104,0.6033847574217429
Output,0.0029659611420752,2,0.608580804027394,0.6933354453967454
Output,0.0029659611420752,3,0.606255005424635,0.6937519836525446
Output,0.0029659611420752,4,0.6094439571969814,0.6569693881422045
Output,0.0052182678383515,42,0.5924896870083372,0.5954378350460304
Output,0.0052182678383515,1,0.6026254110008007,0.5003788823608388
Output,0.0052182678383515,2,0.6013991859318272,0.7158004713071946
Output,0.0052182678383515,3,0.597991979354943,0.6934287236391036
Output,0.0052182678383515,4,0.6029309422177028,0.5997840890508686
Output,0.0091809426787438,42,0.5562379553130448,0.5072785660818301
Output,0.0091809426787438,1,0.5809793624698462,0.6366008747795102
Output,0.0091809426787438,2,0.5791536110451204,0.6963178211308905
Output,0.0091809426787438,3,0.5764448344623098,0.6795502672511983
Output,0.0091809426787438,4,0.5839701263607425,0.5187456418120556
Output,0.0161528137461427,42,0.473142532315534,0.5760905965444179
Output,0.0161528137461427,1,0.5450378274323721,0.7070520244757648
Output,0.0161528137461427,2,0.5259492751925082,0.6511082504737943
Output,0.0161528137461427,3,0.5346933962006497,0.6686240219224651
Output,0.0161528137461427,4,0.5386377250571134,0.545020507799749
Output,0.0284190198160869,42,0.25072226187919816,0.6143556114729427
Output,0.0284190198160869,1,0.41416132740946227,0.7341698865669652
Output,0.0284190198160869,2,0.37189220356747543,0.6268861917977954
Output,0.0284190198160869,3,0.4253954013400185,0.6699148378926595
Output,0.0284190198160869,4,0.40106251274935617,0.5895554409082592
Output,0.0499999999999999,42,0.09129181161673222,0.6403522911092936
Output,0.0499999999999999,1,0.11606994866080965,0.7265971596604649
