Method,σ / noise_mult,clip_norm,ε,ε (final epoch),PR-AUC,PR-AUC_lo,PR-AUC_hi,prevalence,AUROC,AUROC_lo,AUROC_hi,F1,FPR@95TPR,MSE(normal),recall_fuzzy,recall_plateau,AUROC_fuzzy,AUROC_plateau,MI-AUC,MI-AUC_lo,MI-AUC_hi,MI-AUC_eff,MI-AUC_eff_lo,MI-AUC_eff_hi
Baseline,,,inf,,0.6121062641125895,0.5018069774358452,0.6829012725792225,0.049994521148367305,0.9039718304907594,0.8486997086487394,0.9182849389753157,0.36517103509551313,0.554557513192422,0.013029942288994789,1.0,0.5693593314763231,0.999304573038718,0.8054524781640386,0.7041767908303049,0.527153844724958,0.7644347611410136,0.7041767908303049,0.5336022200361945,0.7644347611410136
Input,0.01,,183366.2078699898,,0.19998985586575135,0.10218700412201132,0.3868713258976173,0.049994521148367305,0.8112648371542212,0.708657260943257,0.8383877599203045,0.41655024180548095,0.6603131578188529,0.10674261301755905,0.9908355795148248,0.055710306406685235,0.9648583011118762,0.6525373298330787,0.575154738971219,0.43116829150925046,0.6442373468437298,0.575154738971219,0.5162929910893911,0.6475806911581153
Input,0.05,,7872.463368371129,,0.20328369289144868,0.09973862322697218,0.3594298177462642,0.049994521148367305,0.8552947206216545,0.7198358199062264,0.8912548504229986,0.2624150548876111,0.5476224804636812,0.09699364751577377,1.0,0.6445682451253482,0.9609726526124195,0.7460843786479114,0.6605616434243868,0.45137668180212764,0.726205930032601,0.6605616434243868,0.5158785672080491,0.726205930032601
Input,0.1,,2135.76446401421,,0.20978810859218236,0.1050076183688597,0.3708531393283573,0.049994521148367305,0.8602054636515644,0.7278548458655757,0.896546385910366,0.28068515188795307,0.5844891721214568,0.09084095060825348,1.0,0.618941504178273,0.9624043586815357,0.7545904495676663,0.6817606524098508,0.4684290328207096,0.7444811828260888,0.6817606524098508,0.5251837689528605,0.7444811828260888
Input,0.3,,311.3591392775997,,0.3149690754840392,0.16345788584474444,0.4528980340257716,0.049994521148367305,0.8565881764140549,0.7657281722352264,0.8804737189784712,0.27821636630914137,0.605150090833069,0.033304691314697266,1.0,0.38997214484679665,0.9867816724026262,0.7220428086932754,0.6772160948029546,0.4644069836396129,0.7354083087227933,0.6772160948029546,0.5309863688762416,0.7354083087227933
Input,per-feature,,7872.463368371129,,0.19842963046187329,0.10038644861809413,0.38524613787652595,0.049994521148367305,0.8112380888990891,0.7083124020991367,0.8385424134888309,0.41070476596652095,0.6624325960956198,0.10597969591617584,0.984366576819407,0.055710306406685235,0.9644646445113205,0.6528897542691784,0.5851430615456359,0.4455009772813547,0.6511017731706042,0.5851430615456359,0.5216989677263082,0.6541297639962673
Input,0.6,,105.32732087373734,,0.5142709839308497,0.3906414526631603,0.575105856592855,0.049994521148367305,0.8319799851238383,0.7822880103701804,0.8459827879968123,0.6261884904086739,0.6530753481934312,0.015277160331606865,1.0,0.012256267409470752,0.9983780547491826,0.6600198630319087,0.6183763893477054,0.43967202968410596,0.6792437497689952,0.6183763893477054,0.5268818032252243,0.6793060374225046
Input,1.0,,50.96761577390134,,0.5275991413015658,0.42911136636654723,0.5654809748161382,0.049994521148367305,0.8171961141064013,0.7810219994001115,0.827232030378488,0.6394534585824082,0.6780616511433433,0.017388971522450447,1.0,0.00947075208913649,0.9988960671181492,0.6294226250608344,0.6087054687829404,0.4668418265884644,0.6628195427472565,0.6087054687829404,0.5220933548268868,0.6628195427472565
Input,2.0,,20.77410467620939,,0.5419537188168636,0.4549149041890931,0.5641438365664014,0.049994521148367305,0.8015960411081358,0.7757922296154909,0.8072970422944205,0.6555125044029588,0.7052539000547882,0.020759856328368187,1.0,0.003342618384401114,0.9995294541567176,0.5970464694061195,0.5853450393333801,0.4869853930588682,0.63471629683615,0.5853450393333801,0.5154194680226462,0.63471629683615
Output,0.0001,,157929896246.96194,,0.6121186246535449,0.501711774449463,0.6829824090206829,0.049994521148367305,0.9039930209234044,0.8487680231154151,0.9183025908128568,0.36556543837357053,0.554297990138124,0.013031018897891045,1.0,0.5693593314763231,0.9993049461176821,0.8054951817950562,0.7046531120875397,0.528116702578289,0.7641991054050044,0.7046531120875397,0.5355495378673296,0.7641991054050044
