method,sigma,epsilon,auroc,f1,fpr_at_95tpr,mean_mse_normal,threshold,auroc_lo,auroc_hi,mi_auc,mi_auc_lo,mi_auc_hi,clip_norm,epsilon_final
Baseline,,inf,0.9008001924254466,0.8151520862387396,0.5548747080365639,0.013029942288994789,0.012630670331418514,0.8470423766794035,0.9151922653485299,0.7041767908303049,0.527153844724958,0.7644347611410136,,
Input,0.01,183366.2078699898,0.8059453886441159,0.6631480736160404,0.6616972807751088,0.10674261301755905,0.5621065497398376,0.7102723624742597,0.8321025569562851,0.575154738971219,0.43116829150925046,0.6442373468437298,,
Input,0.05,7872.463368371129,0.8526510194018526,0.7979425860822825,0.5623864586637446,0.09699364751577377,0.012335976585745811,0.7247628984749958,0.8884662302560556,0.6605616434243868,0.45137668180212764,0.726205930032601,,
Input,0.1,2135.76446401421,0.8575677526641312,0.7998683626894075,0.5904293664753886,0.09084095060825348,0.010703286156058311,0.7297118987275141,0.8938360641383677,0.6817606524098508,0.4684290328207096,0.7444811828260888,,
Input,0.3,311.35913927759975,0.8543454119809102,0.748214916388987,0.6135701721502926,0.033304691314697266,0.008151543326675892,0.7707157506933758,0.8778935651275903,0.6772160948029546,0.4644069836396129,0.7354083087227933,,
Input,per-feature,7872.463368371129,0.8050853855594344,0.6610236184445318,0.6629948960465988,0.10597969591617584,0.5648259520530701,0.7107752677180238,0.8312005775073905,0.5851430615456359,0.4455009772813547,0.6511017731706042,,
Output,0.0001,157929896246.96194,0.9007881727573457,0.8153012220773053,0.5549323798264079,0.013031018897891045,0.012636246159672737,0.8470801621490893,0.9151893391931097,0.7046531120875397,0.528116702578289,0.7641991054050044,,
Output,0.001,1579582820.9706118,0.8991610439422478,0.8154110518223749,0.5549035439314859,0.013327897526323795,0.012926675379276276,0.8464976667248776,0.9132342907128005,0.6940931799629474,0.5220038521142975,0.7540831294974066,,
Output,0.005,63233775.78859676,0.8808632098359255,0.7571626712188236,0.6464286744139104,0.020939866080880165,0.03811916708946228,0.8345259638374044,0.8942428721042321,0.6020424252438503,0.4239032530967974,0.6860297632843649,,
Output,0.01,15824213.169325968,0.8344817302213137,0.6704211557296768,0.710848063669656,0.04550701752305031,0.24795874953269958,0.8064208736460998,0.8436760761640181,0.47892047289835316,0.3846353680658012,0.571753875898153,,
Output (last-layer),0.0001,9021158723.580276,0.9008148757281651,0.8151169277626162,0.5548314541941809,0.013028937391936779,0.012640771456062794,0.8470436893204849,0.9152223604721421,0.7046064408886779,0.5273472390267426,0.7651342069573862,,
Output (last-layer),0.001,90279426.67702556,0.9009650062075751,0.8138114531051581,0.553130136393783,0.01303175650537014,0.012904074043035507,0.8470084691447953,0.9155088790129019,0.7079691348041888,0.5291323905094137,0.7709790565519296,,
Output (last-layer),0.005,3623236.629208914,0.9006554198771594,0.8098435368446724,0.550102367426973,0.013302489183843136,0.014031997881829739,0.8466319667905498,0.9155049221596381,0.7209422168731082,0.5265283959369886,0.7922774235750798,,
Output (last-layer),0.01,909577.3219802594,0.8959832583087994,0.8025956548305012,0.5227659390409182,0.014233720488846302,0.017117610201239586,0.8447802702818222,0.9102148561969178,0.7447044752718495,0.5271875183043896,0.8242626133174477,,
DP-SGD (fixed-clip baseline),1.0,0.09453444427685068,0.7927701106625424,0.66426012777429,0.7006689927621904,0.12018757313489914,0.5704728364944458,0.7188756232011905,0.8111956440533522,0.566367795735925,0.4266758596722099,0.6417690328368276,0.5,0.16980011016107
DP-SGD (fixed-clip baseline),2.0,0.049677539771532435,0.7797341271451064,0.656355398711551,0.7202629833616886,0.14637088775634766,0.6101420521736145,0.7009509320957549,0.8002395432093627,0.561493251394165,0.4002984135972162,0.6602659336165816,0.5,0.07597341842843243
DP-SGD (fixed-clip baseline),1.0,0.11372659749695781,0.7931158714730506,0.6586258124419684,0.7053548256870152,0.11765018105506897,0.6096479892730713,0.7217810541285634,0.8117950217997439,0.5669668169624574,0.4316947019193359,0.6428394756589504,1.0,0.18111864526122193
DP-SGD (fixed-clip baseline),2.0,0.049677539771532435,0.7795604963550973,0.6457721310555171,0.7487816834395455,0.14858272671699524,0.6582502722740173,0.7053303222702969,0.7984987005823571,0.5823970119892774,0.39771134965164,0.6726511258870697,1.0,0.07597341842843243
DP-SGD (fixed-clip baseline),1.0,0.16980011016107,0.7787255448646866,0.6621898830823575,0.7326912540730701,0.14727938175201416,0.5949406027793884,0.7078199445618751,0.7969068679120448,0.5864954637983499,0.4182314786660245,0.6773514790165635,5.0,0.22084942805116822
DP-SGD (fixed-clip baseline),2.0,0.08012875440730544,0.7618603415495218,0.652033852033852,0.7732633582283226,0.20429198443889618,0.6651199460029602,0.6709060785006443,0.784858367836083,0.5837580145509267,0.39681538574935593,0.7077631881681851,5.0,0.09826282252752996
Personalized,v1:0.104 | v2:0.097 | v3:0.056,,0.8569900145043495,0.8042198998908158,0.5753626113786441,0.08464649319648743,0.010453065857291222,0.7339334802713166,0.8914803870355251,0.6708138886738396,0.46968427813661323,0.7372147971142364,,
